mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_splitter,param_random_state,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.023800373077392578,0.0031882742979799025,0.006801223754882813,0.0021357571905676657,best,27,0.6,0.30000000000000004,211,50,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.6, 'min_samples_leaf': 0.30000000000000004, 'max_features': 211, 'max_depth': 50, 'criterion': 'gini', 'class_weight': 'balanced'}",0.61474547423797,0.6164806604494726,0.591475257557845,0.603658111312596,0.5397693194925028,0.5932257646100773,0.02818999021014253,113
0.02280116081237793,0.003059436882119944,0.008199262619018554,0.0024808636531257317,best,27,0.1,0.30000000000000004,75,5,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.1, 'min_samples_leaf': 0.30000000000000004, 'max_features': 75, 'max_depth': 5, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5482051678786941,0.5601284207307752,0.5843818611720993,0.561148695773469,0.5597001153402538,0.5627128521790582,0.011817117321338885,764
0.020000123977661134,0.0008947380060222356,0.006199836730957031,0.0007487804883693464,random,27,0.1,0.2,75,50,gini,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.1, 'min_samples_leaf': 0.2, 'max_features': 75, 'max_depth': 50, 'criterion': 'gini', 'class_weight': 'balanced'}",0.5103125483521584,0.5091881975233145,0.5221035298091539,0.4982912540103222,0.5469819300269128,0.5173754919443724,0.01661337182894205,3055
0.01859903335571289,0.0013550750861419873,0.006200265884399414,0.0004004486119861902,random,27,0.6,0.5,186,5,entropy,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.6, 'min_samples_leaf': 0.5, 'max_features': 186, 'max_depth': 5, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5,0.5,0.5198446208410741,0.5,0.5,0.5039689241682148,0.007937848336429632,3989
0.01779942512512207,0.0027122964516307266,0.0070002079010009766,0.00063384675826638,best,27,0.5,0.5,112,40,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.5, 'min_samples_leaf': 0.5, 'max_features': 112, 'max_depth': 40, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5028701841250194,0.5229093410793457,0.5577288464786354,0.5,0.5,0.5167016743366001,0.022230456374649325,3232
0.03379950523376465,0.004533798712558944,0.009799718856811523,0.005598426353301129,best,27,0.6,0.1,186,30,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.6, 'min_samples_leaf': 0.1, 'max_features': 186, 'max_depth': 30, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5813554077054,0.5917596697752637,0.5695406181388278,0.6059684056353745,0.5397693194925028,0.5776786841494738,0.022429662686447447,386
0.025799131393432616,0.001938593512772007,0.007001161575317383,0.0006321112073058216,best,27,0.6,0.1,112,30,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.6, 'min_samples_leaf': 0.1, 'max_features': 112, 'max_depth': 30, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5402831502398266,0.5419507720532029,0.5695406181388278,0.6059684056353745,0.5552710495963091,0.5626027991327083,0.02411280431789046,780
0.02940077781677246,0.006342850413503598,0.007199811935424805,0.00039921140077041605,best,27,0.1,0.2,62,30,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.1, 'min_samples_leaf': 0.2, 'max_features': 62, 'max_depth': 30, 'criterion': 'gini', 'class_weight': 'balanced'}",0.5433467429986074,0.5535545023696683,0.5690022800202669,0.5354739154693821,0.5551557093425605,0.5513066300400971,0.011375755114262918,1521
0.02000088691711426,0.0035772904471682693,0.013800525665283203,0.01312089461818185,best,27,1.0,0.2,25,15,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 1.0, 'min_samples_leaf': 0.2, 'max_features': 25, 'max_depth': 15, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5151787095775956,0.4817917749579575,0.5272546867083263,0.5109673594643604,0.4866128412149173,0.5043610743846314,0.017373282799792018,3978
0.02339968681335449,0.009497713008911663,0.007199907302856445,0.000749246802336022,best,27,0.9,0.30000000000000004,38,45,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.9, 'min_samples_leaf': 0.30000000000000004, 'max_features': 38, 'max_depth': 45, 'criterion': 'gini', 'class_weight': 'balanced'}",0.5405926040538449,0.5503134077358203,0.5499598885323425,0.5283686706653647,0.5456286043829297,0.5429726350740605,0.008108059585859107,2032
0.020400142669677733,0.0036111678165358786,0.006600332260131836,0.0004897461046175965,best,27,0.1,0.5,99,45,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.1, 'min_samples_leaf': 0.5, 'max_features': 99, 'max_depth': 45, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5028701841250194,0.5229093410793457,0.5577288464786354,0.5,0.5,0.5167016743366001,0.022230456374649325,3232
0.029398298263549803,0.005002906347907014,0.006800651550292969,0.0004000667451531725,best,27,0.6,0.2,173,5,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.6, 'min_samples_leaf': 0.2, 'max_features': 173, 'max_depth': 5, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5813554077054,0.5720684910564133,0.5799801553791589,0.5920456130562143,0.5397693194925028,0.5730437973379379,0.01781239472163684,447
