mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_class_weight,param_l1_ratio,param_loss,param_max_iter,param_n_iter_no_change,param_penalty,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.14600944519043,0.49393032341449306,0.005801725387573242,0.0007487311938373927,0.0001,balanced,0.15,log,2500,150,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.15, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 150, 'penalty': 'elasticnet', 'random_state': 27}",0.5711743772241993,0.5802553126433267,0.5834001857794291,0.5528403543032502,0.5187620146097656,0.5612864489119942,0.023775072250875426,383
1.0496002674102782,0.13167425188916052,0.005799722671508789,0.00040063980050594685,0.0001,balanced,0.2,log,2500,20,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.2, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 20, 'penalty': 'elasticnet', 'random_state': 27}",0.5615813089896333,0.5588518575141416,0.5896069076169566,0.5488823406332821,0.5205151864667436,0.5558875202441513,0.022264223088922768,608
1.8538020133972168,0.2990305162418469,0.005997228622436524,0.0006320548821593118,0.0001,balanced,0.2,log,2500,50,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.2, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 50, 'penalty': 'elasticnet', 'random_state': 27}",0.5654185362834597,0.5651811649594863,0.5795368181050498,0.5569727298088993,0.5334948096885813,0.5601208117690952,0.015162511456213766,442
3.021199417114258,0.5103012412362427,0.005600500106811524,0.0004898238169940782,0.0001,balanced,0.2,log,2500,100,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.2, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 100, 'penalty': 'elasticnet', 'random_state': 27}",0.5721801021197587,0.5812796208530806,0.5714511906772505,0.5506433951736643,0.5212687427912341,0.5593646103229977,0.02153111542797976,492
4.538199806213379,0.6369473238911496,0.006402063369750977,0.001358824715341211,0.0001,balanced,0.2,log,2500,150,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.2, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 150, 'penalty': 'elasticnet', 'random_state': 27}",0.5715147764196195,0.5801330071854456,0.5836535213646343,0.5485510531454875,0.518792772010765,0.5605290260251904,0.02418731819457395,418
1.2166003227233886,0.15671017336594545,0.006199693679809571,0.0004002576218575191,0.0001,balanced,0.25,log,2500,20,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.25, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 20, 'penalty': 'elasticnet', 'random_state': 27}",0.5612099644128113,0.5833282372725883,0.5915069245059956,0.5485336169619193,0.5268204536716647,0.5622798393649958,0.023429591788301236,350
1.8759994506835938,0.2928840722833287,0.005799531936645508,0.00039947042533511356,0.0001,balanced,0.25,log,2500,50,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.25, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 50, 'penalty': 'elasticnet', 'random_state': 27}",0.5658362989323844,0.566526524996178,0.580233490964364,0.5569727298088994,0.5338023836985775,0.5606742856800807,0.015357462219739075,410
3.373042631149292,0.3443949281785684,0.008410406112670899,0.004312332147640205,0.0001,balanced,0.25,log,2500,100,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.25, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 100, 'penalty': 'elasticnet', 'random_state': 27}",0.5727835370570942,0.5804693471946185,0.5727178686032764,0.5506259589900963,0.5211764705882352,0.5595546364866641,0.021625468844030216,479
4.337855577468872,0.6328143816840357,0.0058005332946777345,0.00040032907279425104,0.0001,balanced,0.25,log,2500,150,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.25, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 150, 'penalty': 'elasticnet', 'random_state': 27}",0.5712826860591056,0.5802553126433267,0.5834846309744975,0.5484638722276468,0.5188542868127644,0.5604681577434683,0.024141502381989602,419
1.2563427448272706,0.1097726129422318,0.006398248672485352,0.0013566077522183726,0.0001,balanced,0.3,log,2500,20,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.3, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 20, 'penalty': 'elasticnet', 'random_state': 27}",0.5621537985455671,0.5825638281608316,0.5906202499577774,0.5503818524201423,0.5117954632833525,0.5595030384735342,0.027807611066266735,484
