mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_jobs,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_class_weight,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.5191992282867433,0.6978271050674946,1.1730018138885498,0.826254504090905,27,-1,331,2,4,auto,30,gini,balanced,False,"{'random_state': 27, 'n_jobs': -1, 'n_estimators': 331, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 30, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': False}",0.617948321213059,0.5884497783213576,0.5932169397061307,0.6077992049100294,0.5571011149557862,0.5929030718212724,0.020740635233947927,2249
3.7453166007995606,0.3819211053146263,0.4137998580932617,0.33915808577948287,27,-1,420,2,4,sqrt,70,gini,balanced,True,"{'random_state': 27, 'n_jobs': -1, 'n_estimators': 420, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 70, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': True}",0.6192634999226365,0.5939688121082404,0.5950747339976354,0.6142505928302413,0.5742945021145713,0.599370428194665,0.016084689093109086,600
0.7646000385284424,0.13012099567107754,0.17299995422363282,0.09446990260900723,27,-1,123,5,2,sqrt,60,gini,balanced,True,"{'random_state': 27, 'n_jobs': -1, 'n_estimators': 123, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 60, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': True}",0.5977719325390685,0.5893517810732304,0.5939769464617464,0.5997959966522528,0.5614686658977315,0.5884730645248059,0.013964097841734267,3591
2.1264334201812742,0.24082401153638783,0.8825175285339355,0.419775304229981,27,-1,257,2,1,sqrt,40,gini,balanced,False,"{'random_state': 27, 'n_jobs': -1, 'n_estimators': 257, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 40, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': False}",0.6059260405384497,0.5810120776639658,0.5971330856274278,0.5980262240200865,0.5374702037677817,0.5839135263235422,0.024592179166828935,4384
3.6613847732543947,0.03635037431948199,0.44820051193237304,0.07809588873678391,27,-1,445,5,1,sqrt,100,gini,balanced,True,"{'random_state': 27, 'n_jobs': -1, 'n_estimators': 445, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 100, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': True}",0.6217700758161844,0.5881593028588901,0.5939558351629792,0.606909959548054,0.5554094579008073,0.5932409262573829,0.02217344734032996,1995
2.38883318901062,0.4178004508613799,0.1427995204925537,0.08710277852772207,27,-1,188,5,1,auto,60,gini,balanced,True,"{'random_state': 27, 'n_jobs': -1, 'n_estimators': 188, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 60, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': True}",0.6167723967197896,0.5898410029047546,0.5861868772166864,0.6007898591156366,0.5528104575163398,0.5892801186946415,0.021110274256716553,3443
1.072200107574463,0.15680647374228976,0.12060050964355469,0.00928637236515204,27,-1,198,2,4,auto,60,gini,balanced,True,"{'random_state': 27, 'n_jobs': -1, 'n_estimators': 198, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 60, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': True}",0.6108154107999381,0.5967053967283291,0.5916547035973653,0.608008439112847,0.5750019223375624,0.5964371745152084,0.012829979346849967,1216
3.148999881744385,0.46101033724280693,0.4554002285003662,0.16452887277852637,27,-1,435,10,4,sqrt,90,gini,balanced,False,"{'random_state': 27, 'n_jobs': -1, 'n_estimators': 435, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 90, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': False}",0.6150549280519882,0.5942592875707079,0.5888046782638068,0.6141459757288326,0.5628988850442138,0.5950327509319099,0.01917381240329748,1502
0.5559993267059327,0.012263481581114054,0.22200021743774415,0.11615587016290999,27,-1,79,2,1,auto,80,gini,balanced,True,"{'random_state': 27, 'n_jobs': -1, 'n_estimators': 79, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 80, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': True}",0.6128268605910567,0.5764485552667787,0.5905569160614761,0.6041376063607198,0.5785928489042675,0.5925125574368598,0.014166493282845666,2443
1.4921992778778077,0.40337234702462615,0.3026000499725342,0.3908349872725137,27,-1,79,10,4,sqrt,100,gini,balanced,False,"{'random_state': 27, 'n_jobs': -1, 'n_estimators': 79, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 100, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': False}",0.6187683738202073,0.5825026754318912,0.5844979733153184,0.6089151206583904,0.5558708189158016,0.5901109924283218,0.02207542842157976,3156
2.8132009506225586,0.1133467303894855,0.3649996280670166,0.1721510546791978,27,-1,415,5,4,auto,,gini,balanced,False,"{'random_state': 27, 'n_jobs': -1, 'n_estimators': 415, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': False}",0.6196348444994584,0.5890154410640575,0.5920135956764061,0.6088105035569814,0.5586236063052672,0.5936195982204342,0.020765613890856655,1825
0.6599997997283935,0.24531667074540592,0.33160033226013186,0.051940282575366745,27,-1,69,10,2,auto,50,gini,balanced,True,"{'random_state': 27, 'n_jobs': -1, 'n_estimators': 69, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 50, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': True}",0.6250193408633762,0.5847653264026906,0.5958347407532512,0.6028473287766773,0.5660976547481738,0.5949128783088339,0.01951150604479234,1520
