mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_metric,param_n_jobs,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11419830322265626,0.0030591653448505188,0.2982035636901855,0.1067929954873418,ball_tree,10,manhattan,-1,1,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 1, 'weights': 'uniform'}",0.5481432771158905,0.5440758293838863,0.5019739064347238,0.533111312595899,0.5242599000384468,0.5303128451137693,0.016461525149206943,1504
0.17339882850646973,0.07403782554781475,0.3710022449493408,0.08194284722209197,ball_tree,10,manhattan,-1,6,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 6, 'weights': 'uniform'}",0.5423951725205013,0.5227029506191714,0.5046233744299949,0.5279240479843772,0.5419915417147251,0.5279274174537539,0.013982052883690706,1549
0.22139945030212402,0.0673566566293059,0.33379836082458497,0.0766850337208755,ball_tree,10,manhattan,-1,11,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 11, 'weights': 'uniform'}",0.5273557171592139,0.5161748968047699,0.5049928221584191,0.5033826196122193,0.5264590542099193,0.5156730219889083,0.010180337861248716,1623
0.22539782524108887,0.026704186340759866,0.24540014266967775,0.027988524306254297,ball_tree,10,manhattan,-1,16,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 16, 'weights': 'uniform'}",0.5171824230233638,0.5184222595933343,0.4899087991893261,0.5378888268935695,0.5204536716647443,0.5167711960728676,0.015388297128964971,1618
0.20559864044189452,0.04519660136240358,0.4356058597564697,0.08181961628990161,ball_tree,10,manhattan,-1,21,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 21, 'weights': 'uniform'}",0.49944298313476715,0.5194312796208531,0.514334571862861,0.5475310364067513,0.5105113417916186,0.5182502425633702,0.016048026707569704,1607
0.23019928932189943,0.028038261091606363,0.4794024467468262,0.026445499747597596,ball_tree,10,manhattan,-1,26,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 26, 'weights': 'uniform'}",0.5094228686368559,0.5409111756612138,0.5190212801891573,0.5436602036546241,0.5251134179161862,0.5276257892116074,0.01300230627342704,1555
0.32679996490478513,0.09609134750510111,0.330999755859375,0.07826521225821374,ball_tree,10,manhattan,-1,31,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 31, 'weights': 'uniform'}",0.5000232090360514,0.5384115578657698,0.5302419354838709,0.5307835820895522,0.5163168012302961,0.5231554171411081,0.013586928953261877,1600
0.25619797706604003,0.05103505978430958,0.21480011940002441,0.045523877148504595,ball_tree,10,manhattan,-1,36,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 36, 'weights': 'uniform'}",0.4906854401980504,0.5580033634000916,0.5128673365985476,0.5372698423769006,0.5256209150326797,0.524889379521254,0.022648558074690885,1593
0.26220002174377444,0.06432851858297899,0.28599963188171384,0.12192343682596611,ball_tree,10,manhattan,-1,41,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 41, 'weights': 'uniform'}",0.49135076589818977,0.548853386332365,0.5218607498733322,0.5392139768447483,0.5429834678969626,0.5288524693691196,0.020795886808027075,1527
0.22319636344909669,0.032220863927095805,0.3592010498046875,0.0521092206570132,ball_tree,10,manhattan,-1,46,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 46, 'weights': 'uniform'}",0.5049280519882408,0.5451918666870509,0.5251541124809999,0.5367729111452085,0.5430065359477124,0.5310106956498426,0.014783861407935741,1488
0.24299883842468262,0.048604317405626714,0.37259979248046876,0.057414033852477,ball_tree,10,manhattan,-1,51,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 51, 'weights': 'uniform'}",0.5067925112177007,0.5492126586148907,0.5314980577605135,0.5336343981029431,0.5491580161476355,0.5340591283687367,0.015542289280547033,1436
0.2911975860595703,0.057109487171822224,0.2109992504119873,0.049010277987199174,ball_tree,10,manhattan,-1,56,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 56, 'weights': 'uniform'}",0.5107922017638867,0.5428221984406054,0.5245102178686032,0.5352646812665643,0.5445828527489427,0.5315944304177205,0.012578961921643624,1479
0.20899925231933594,0.0398796611805131,0.2554001808166504,0.06957883394272944,ball_tree,10,manhattan,-1,61,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 61, 'weights': 'uniform'}",0.5031100108308835,0.5331906436324721,0.5173112649890221,0.5325795089970707,0.5388927335640139,0.5250168324026925,0.013083046288045342,1592
