k,silhouette_avg
2,0.050412202442302725
3,0.05123338672461222
4,0.040557083839375986
5,0.04491814219622771
6,0.044490668214349265
7,0.046318198746556315
8,0.03965114164505375
9,0.038654658785276394
10,0.039587726709958665
11,0.0387807562397063
12,0.036595112910445204
13,0.03601138382064896
14,0.03714121740430256
15,0.04062742848028436
16,0.03371039226213002
17,0.035684277313370726
18,0.037893504001520445
19,0.034920361740721204
20,0.03630179133784456
21,0.036858797964136485
22,0.03277097658142751
23,0.035495843136714875
24,0.03357013454115941
25,0.03381299417605243
26,0.03568571470736021
27,0.032471893095701775
28,0.03257384231739551
29,0.03212084647062318
30,0.03471215070737223
31,0.03398624589655528
32,0.03600779713850608
33,0.03372275759008898
34,0.03479681543045835
35,0.0345948059247098
36,0.033241943305699045
37,0.030692971159055175
38,0.03224526905126085
39,0.033539235623312756
40,0.032720565958616006
41,0.031911929303659325
42,0.03287450886273563
43,0.03140057090866265
44,0.03303489600228186
45,0.03278106049002438
46,0.032697508302710974
47,0.03203913969296289
48,0.035267415378070266
49,0.03244983308289189
50,0.031642581934297344
51,0.03141112376880218
52,0.03438028732814318
53,0.03283432611626394
54,0.03305662038595322
55,0.03240932012655192
56,0.032693445410652965
57,0.03207100498130104
58,0.032463909901275095
59,0.03470844416199149
60,0.0327312833825672
61,0.031133915682543752
62,0.03311992262095757
63,0.030820560213197554
64,0.03342097767709561
65,0.033740518903914066
66,0.031480727021156577
67,0.0344349086404312
68,0.032636624426939265
69,0.033470387721326614
70,0.03449476182682501
71,0.03294856712496034
72,0.03136931885571862
73,0.0336245660157593
74,0.0321213289013462
75,0.03460668694005194
76,0.03389599356415755
77,0.034240518235044766
78,0.034739540990132635
79,0.03540854466411838
80,0.03342140049867666
81,0.03504079058341504
82,0.033779153118933106
83,0.03285769291909102
84,0.03696410499708251
85,0.03478034054958804
86,0.035884846139878857
87,0.03640481873587417
88,0.034680130795369475
89,0.03418030429334457
90,0.0346621000185117
91,0.03605468569936903
92,0.035421402467263205
93,0.03630903442477159
94,0.036358021450195496
95,0.03752729365702758
96,0.03558137315575277
97,0.03429996391609549
98,0.037257284313426224
99,0.03596753204658156
