method,k,silhouette_avg
single,74,-0.14382973958411147
single,75,-0.14385063196848996
single,76,-0.14432692807504008
single,77,-0.14486896800305862
single,78,-0.1451626077649102
single,79,-0.14568323845596529
single,80,-0.1465048050956579
single,81,-0.14829557965338946
single,82,-0.14895605209003387
single,83,-0.1487540969268951
single,84,-0.14909578484991354
single,85,-0.14953322996586138
single,86,-0.15119562663835792
single,87,-0.1524559231198055
single,88,-0.15331849006505513
single,89,-0.15368252110763167
single,90,-0.15442873122352496
single,91,-0.15502913015880107
single,92,-0.15533304574443285
single,93,-0.15611960974023745
single,94,-0.15646235253359744
single,95,-0.15670742554538056
single,96,-0.15541690261889207
single,97,-0.15492285803660916
single,98,-0.15600555242401296
single,99,-0.15523850315029153
complete,2,0.03912974166447517
complete,3,0.03902661299301354
complete,4,0.033626997146218925
complete,5,0.0313838779348992
complete,6,0.03151347931950715
complete,7,0.026245815023391662
complete,8,0.024951794716653094
complete,9,0.021451808952482873
complete,10,0.016482591850000002
complete,11,0.012931681030119843
complete,12,0.009837081452903813
complete,13,0.010170635063096971
complete,14,0.010148473747168369
complete,15,0.01014258884617024
complete,16,0.008321215971496125
complete,17,0.010700936703651142
complete,18,0.010611857741837944
complete,19,0.00842113317024444
complete,20,0.008793511569445495
complete,21,0.009207559725816286
complete,22,0.010283854901450628
complete,23,0.009971246222026692
complete,24,0.01041266959717096
complete,25,0.011649986685297004
complete,26,0.014557353273605063
complete,27,0.012422372311030626
complete,28,0.009439753774970121
complete,29,0.01056947015293537
complete,30,0.010503839390756045
complete,31,0.010514923567318212
complete,32,0.01068104131456749
complete,33,0.011123046575826858
complete,34,0.011654502816437606
complete,35,0.012468790465411625
complete,36,0.014113988133961888
complete,37,0.014423786028102124
complete,38,0.015238795354717628
complete,39,0.015526275742427816
complete,40,0.015733684774573396
complete,41,0.01584873945640302
complete,42,0.01614705340820122
complete,43,0.016778083708539747
complete,44,0.017190995382308935
complete,45,0.01845929534835318
complete,46,0.013638427840527297
complete,47,0.01438024134872277
complete,48,0.015086490052027177
complete,49,0.014759724186867662
complete,50,0.014445308057560835
complete,51,0.014770228465266523
complete,52,0.015563335888957508
complete,53,0.014872083252700941
complete,54,0.015185219119934985
complete,55,0.015371653201851979
complete,56,0.01579794733935451
complete,57,0.016610186410445565
complete,58,0.01688375276829088
complete,59,0.01685133545434701
