method,k,WCSS,BCSS,CH_index
single,65,44632.86516584907,1965.3471593880565,1.652637250637947
single,66,44590.15815049864,2008.0541747379343,1.6634709311941482
single,67,44568.943692988025,2029.2686322489476,1.6556727737490444
single,68,44522.77941118367,2075.4329140527466,1.669098154925267
single,69,44501.91288905216,2096.2994361844535,1.6611731554706564
single,70,44478.51147630589,2119.7008489309233,1.6555537006439085
single,71,44451.051005863534,2147.161319373161,1.6533751829430374
single,72,44424.88981044375,2173.322514793139,1.6502319413002342
single,73,44402.857287169114,2195.3550380676224,1.6439382390115158
single,74,44378.20997509676,2220.0023501398705,1.639847613003957
single,75,44326.38314564272,2271.8291795940495,1.6566960351665956
single,76,44300.43536985391,2297.7769553828534,1.653553260279097
single,77,44277.46713387087,2320.745191366088,1.648272445748082
single,78,44250.72551391795,2347.4868113191683,1.6459179818734793
single,79,44228.0325408511,2370.179784385814,1.640678129635488
single,80,44204.31670688244,2393.8956183540663,1.6363110219606454
single,81,44182.85125233546,2415.361072901855,1.6304548474673184
single,82,44160.13961739479,2438.072707841949,1.62562204330738
single,83,44101.72829216455,2496.4840330725156,1.6457565118914794
single,84,44077.638344477076,2520.573980759462,1.6418258212320218
single,85,44025.467837931035,2572.7444873053846,1.6571245359620939
single,86,44001.72688366822,2596.485441568637,1.6529382913484043
single,87,43980.06067279103,2618.1516524454973,1.64746986911416
single,88,43956.45268092589,2641.7596443108805,1.6434097292210947
single,89,43933.41226791415,2664.800057322889,1.639075170083603
single,90,43906.25848780073,2691.953837435791,1.6374963981534292
single,91,43881.88595053677,2716.3263746998828,1.6341826413957878
single,92,43855.95750759072,2742.254817646197,1.6319296474451765
single,93,43832.51725584118,2765.695069395543,1.6281738311998462
single,94,43808.695032493495,2789.5172927433186,1.6247387219948064
single,95,43785.645470616575,2812.566854619963,1.6209063708060185
single,96,43721.40006786607,2876.812257370778,1.642197582549221
single,97,43662.65938214107,2935.552943095673,1.6598041509197845
single,98,43618.54236884906,2979.669956387751,1.668362194770931
single,99,43565.790155213195,3032.4221700233375,1.68189813965014
complete,2,45364.83806081501,1233.3742644218346,67.01815087985352
complete,3,44924.72771045393,1673.4846147828198,45.893056018070666
complete,4,44191.77495737179,2406.4373678649467,44.70707684683188
complete,5,43440.00656301304,3158.205762223706,44.748511808554895
complete,6,42701.35596272155,3896.856362515222,44.91737225638553
complete,7,42160.79912464455,4437.413200592168,43.15239393029715
complete,8,42112.81050753686,4485.401817699863,37.41516090708657
complete,9,41942.93843180356,4655.273893433159,34.10187643583829
complete,10,41686.636659714335,4911.575665522385,32.16522761557803
complete,11,41549.93950064678,5048.2728245899325,29.840135042795605
complete,12,41302.95147975643,5295.260845480316,28.61311119183626
complete,13,41146.05238583433,5452.1599394024215,27.09778078228602
complete,14,41083.585688488725,5514.626636748036,25.328062502611946
complete,15,40979.53932367458,5618.673001562182,24.013701937262123
complete,16,40536.855334900625,6061.356990336138,24.43272237173779
complete,17,40309.10722271059,6289.105102526178,23.890859539596686
complete,18,40257.80805829381,6340.404266942965,22.688547227262447
complete,19,40063.43388504877,6534.778440188006,22.183067742409197
complete,20,39950.09240202459,6648.119923212188,21.431937059965872
complete,21,39555.21486483313,7042.997460403642,21.776106952035875
complete,22,39449.397731805635,7148.814593431134,21.0985799119021
complete,23,39387.6840504787,7210.528274758066,20.336919023773945
complete,24,39319.16276820165,7279.049557035125,19.663736475808534
complete,25,39056.18968593665,7542.022639300118,19.64863469067779
complete,26,38787.75426568223,7810.458059554538,19.661182746267755
complete,27,38710.96558448206,7887.246740754708,19.120881121915453
complete,28,38575.141086485826,8023.071238750936,18.788026385756304
complete,29,38426.04121641385,8172.171108822915,18.51771846513868
complete,30,38344.21388622479,8253.99843901197,18.089313072656772
complete,31,38288.18211850043,8310.03020673633,17.623569870687238
complete,32,38235.425519789824,8362.786805446936,17.179968740299568
complete,33,38155.75457244678,8442.457752789987,16.82981898843914
complete,34,37971.7358671464,8626.476458090361,16.74947346958942
complete,35,37893.4760166449,8704.736308591866,16.431447657294722
complete,36,37730.43138462031,8867.780940616458,16.32450796386367
complete,37,37676.19110299916,8922.021222237601,15.984535985992967
complete,38,37609.27138301827,8988.940942218493,15.690594471490027
complete,39,37529.44290282356,9068.769422413203,15.439787828111546
complete,40,37431.41967456956,9166.792650667205,15.240046009196474
complete,41,37356.35857286455,9241.853752372212,15.004632450672858
complete,42,37261.62060802917,9336.591717207592,14.820215352937575
complete,43,37206.962588905415,9391.249736331341,14.567415149831575
complete,44,37139.28853684101,9458.923788395748,14.351361529146972
complete,45,36895.91630603018,9702.296019206575,14.474970348534029
complete,46,36765.99176168184,9832.220563554909,14.387575065241665
complete,47,36659.19004715717,9939.022278079587,14.263244698943184
complete,48,36524.84891159612,10073.363413640633,14.194630256668304
complete,49,36460.71183131983,10137.500493916928,14.006215505161723
complete,50,36338.640273859506,10259.572051377247,13.926473061371997
complete,51,36201.980404379414,10396.231920857343,13.87620016376389
complete,52,36110.54699614953,10487.665329087222,13.752818517529851
complete,53,36034.77162694746,10563.440698289292,13.608728402272556
complete,54,35992.4932167272,10605.719108509556,13.415585810941858
complete,55,35929.29219187024,10668.920133366515,13.263414618510057
complete,56,35838.589614779776,10759.62271045698,13.160750431182029
complete,57,35773.43934444822,10824.772980788535,13.022282613741249
complete,58,35730.39870019983,10867.81362503692,12.854827819285962
complete,59,35701.739923749796,10896.472401486957,12.671412537364432
complete,60,35658.14277206829,10940.069553168461,12.51657316088112
complete,61,35576.76195699811,11021.45036823864,12.42272020991033
complete,62,35456.58869875261,11141.623626484141,12.389015026907106
complete,63,35401.62555546687,11196.58676976988,12.263239771636025
complete,64,35313.828765024264,11284.383560212485,12.18838752791055
complete,65,35275.246877055455,11322.965448181296,12.047117585262596
complete,66,35194.30081319006,11403.911512046696,11.96906706604846
complete,67,35117.06928479531,11481.143040441439,11.888694559778394
complete,68,35093.15992341194,11505.052401824809,11.738742357895
complete,69,35030.285430089774,11567.926895146978,11.64533872954152
complete,70,34937.352371549576,11660.859953687168,11.594700439943635
complete,71,34876.05046123218,11722.161864004565,11.504538196071316
complete,72,34831.00935704671,11767.202968190037,11.396050198865906
complete,73,34801.11879355711,11797.093531679631,11.271285910525597
complete,74,34747.261404884506,11850.950920352247,11.180274242336182
complete,75,34694.17340561217,11904.03891962458,11.09091173058702
complete,76,34628.71891282672,11969.493412410031,11.019392630383711
complete,77,34579.81035362723,12018.401971609517,10.929704667795127
complete,78,34545.366215122165,12052.84611011459,10.824933451936628
complete,79,34501.09639312565,12097.115932111103,10.73466920524509
complete,80,34454.43615883947,12143.776166397285,10.649615653450239
complete,81,34375.51185255637,12222.700472680397,10.604701485211
complete,82,34329.9610744099,12268.251250826861,10.522349314713484
complete,83,34279.78009161002,12318.432233626736,10.44743818420383
complete,84,34203.646148253385,12394.566176983366,10.404108575072117
complete,85,34144.74331861393,12453.469006622818,10.342581767053087
complete,86,34121.73927841547,12476.473046821278,10.242386078130483
complete,87,34065.44235999296,12532.769965243791,10.181494742639467
complete,88,34003.29188367784,12594.920441558912,10.128605463100529
complete,89,33949.3762813486,12648.836043888148,10.068109761392474
complete,90,33875.00014224093,12723.212182995825,10.031286614533132
complete,91,33842.52885764585,12755.683467590898,9.95049882238099
complete,92,33789.32846009659,12808.883865140155,9.893590918161955
complete,93,33746.87451830544,12851.337806931306,9.82669937687755
complete,94,33715.737145984465,12882.475179252282,9.749479820221355
complete,95,33641.613881513695,12956.598443723056,9.718539592810144
