mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_metric,param_n_jobs,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.030199146270751952,0.024401617068108,0.6341994762420654,0.12928664047046975,ball_tree,10,manhattan,-1,1,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 1, 'weights': 'uniform'}",0.5452639603583,0.5002462686567164,0.5342883069743324,0.5565899963490325,0.527562077739756,0.5327901220156275,0.01903002920571731,1623
0.017599725723266603,0.0004900966225881793,0.688199234008789,0.056764305274693956,ball_tree,10,manhattan,-1,6,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 6, 'weights': 'uniform'}",0.5498870102643687,0.5149402985074627,0.5640518737161204,0.6032615309723743,0.5583678818987453,0.5581017190718143,0.028302909602228244,1603
0.05720052719116211,0.05817734750650605,0.6455987453460693,0.1001756226379301,ball_tree,10,manhattan,-1,11,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 11, 'weights': 'uniform'}",0.5476925590133138,0.5272810945273632,0.5605691948704653,0.5931881797161096,0.5588833684302886,0.5575228793115081,0.02142122949866867,1607
0.016599512100219725,0.0007999427556192298,0.5467967033386231,0.13294559526807032,ball_tree,10,manhattan,-1,16,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 16, 'weights': 'uniform'}",0.5566092188733698,0.5440796019900497,0.5580463094074709,0.5884087313441092,0.5565472273405283,0.5607382177911056,0.01473109774904452,1598
0.017197370529174805,0.000980497315299126,0.611199951171875,0.09850434702710098,ball_tree,10,manhattan,-1,21,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 21, 'weights': 'uniform'}",0.5605488850771869,0.5424751243781094,0.5655675993697772,0.5892550919933176,0.5821296174431868,0.5679952636523156,0.016518958045240728,1587
0.01779599189758301,0.0009808739630937583,0.8066018104553223,0.06683841580174925,ball_tree,10,manhattan,-1,26,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 26, 'weights': 'uniform'}",0.5651229273870783,0.557460199004975,0.553873077920265,0.586121344883667,0.5823215539176977,0.5689798206227367,0.013020174223321933,1580
0.01739611625671387,0.0004911299259522644,0.8631998538970947,0.10076568434533716,ball_tree,10,manhattan,-1,31,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 31, 'weights': 'uniform'}",0.5664733589261891,0.556462686567164,0.5637252946690333,0.5899023089603594,0.5816963894007195,0.5716520077046932,0.012282750171829069,1571
0.02699565887451172,0.016539521680684323,0.7884002685546875,0.10951717294613425,ball_tree,10,manhattan,-1,36,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 36, 'weights': 'uniform'}",0.5782079555664461,0.5585323383084577,0.5632391655531404,0.5902010244836094,0.5746961919803457,0.5729753351783999,0.011229062239161352,1559
0.026598215103149414,0.017200708523123137,0.7236021041870118,0.06679934757278301,ball_tree,10,manhattan,-1,41,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 41, 'weights': 'uniform'}",0.5899970050913447,0.5506890547263681,0.5691150954308849,0.5980257116620753,0.5670543783451786,0.5749762490511703,0.01699339756542924,1549
0.017797374725341798,0.0007487492959026764,0.7992008209228516,0.06465782848100618,ball_tree,10,manhattan,-1,46,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 46, 'weights': 'uniform'}",0.5874812818209045,0.5580721393034825,0.5711344009892105,0.6017873145474459,0.5705997192243573,0.5778149711770801,0.015195921145459387,1538
0.016795969009399413,0.001164397780711761,0.9064032077789307,0.033157305289674435,ball_tree,10,manhattan,-1,51,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 51, 'weights': 'uniform'}",0.5876255819652046,0.5676019900497512,0.5836466165413535,0.5985318685209156,0.5758560366763185,0.5826524187507086,0.01049365446346657,1486
0.01659693717956543,0.0018525187579404095,0.8924214839935303,0.11897294509413693,ball_tree,10,manhattan,-1,56,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 56, 'weights': 'uniform'}",0.5853331155217947,0.572363184079602,0.5815849304960012,0.5941617710511468,0.5720447266824602,0.5810975455662011,0.008331796742125063,1507
0.020997047424316406,0.007510134820920234,0.7477009296417236,0.03889760815101281,ball_tree,10,manhattan,-1,61,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 61, 'weights': 'uniform'}",0.5807672411445997,0.567450248756219,0.5749336870026525,0.5906712248442807,0.5715210143020093,0.5770686832099521,0.008081554184285186,1547
