mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_splitter,param_random_state,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0354001522064209,0.03994297620573915,0.007999658584594727,0.0036877574264339683,best,27,1.0,0.1,85,25,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 1.0, 'min_samples_leaf': 0.1, 'max_features': 85, 'max_depth': 25, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5674629026420557,0.5543865249097649,0.5510714285714287,0.5687780247575979,0.5568304196431777,0.559705860104805,0.007121696049147563,817
0.012598991394042969,0.001018945266705706,0.004999732971191407,0.000632787821120486,random,27,0.1,0.30000000000000004,59,20,gini,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.1, 'min_samples_leaf': 0.30000000000000004, 'max_features': 59, 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced'}",0.5149927614911328,0.5161645427685155,0.5183928571428571,0.5288104089219331,0.5435438130451951,0.5243808766739267,0.01075490691489697,2705
0.03040037155151367,0.031371542224818104,0.0051994800567626955,0.0007474896371835507,random,27,0.7000000000000001,0.5,98,20,gini,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.7000000000000001, 'min_samples_leaf': 0.5, 'max_features': 98, 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,3604
0.016001033782958984,0.005832091382329797,0.004999971389770508,7.478898592642843e-07,random,27,0.30000000000000004,0.30000000000000004,98,15,entropy,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.30000000000000004, 'min_samples_leaf': 0.30000000000000004, 'max_features': 98, 'max_depth': 15, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.4971769815418024,0.5278357518763146,0.5183928571428571,0.5463582186793393,0.5435438130451951,0.5266615244571018,0.017955831205298242,2336
0.012000799179077148,0.0006318826632745771,0.049998903274536134,0.0559574004998974,random,27,0.7000000000000001,0.1,13,50,entropy,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.7000000000000001, 'min_samples_leaf': 0.1, 'max_features': 13, 'max_depth': 50, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5289087947882736,0.5160622355358035,0.49955803571428564,0.5159094393132257,0.5344168431632983,0.5189710697029775,0.012099843661470575,2777
0.013600730895996093,0.004270090874691712,0.028599882125854494,0.047701669997784524,random,27,0.30000000000000004,0.4,13,35,gini,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.30000000000000004, 'min_samples_leaf': 0.4, 'max_features': 13, 'max_depth': 35, 'criterion': 'gini', 'class_weight': 'balanced'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,3604
0.016800546646118165,0.0026380877190633986,0.004799747467041015,0.00040061503288700014,random,27,0.1,0.4,111,40,gini,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.1, 'min_samples_leaf': 0.4, 'max_features': 111, 'max_depth': 40, 'criterion': 'gini', 'class_weight': 'balanced'}",0.4971769815418024,0.5278357518763146,0.5498214285714286,0.5463582186793393,0.5435438130451951,0.532947238742816,0.0194037040298434,1593
0.01300053596496582,0.0015496660252220379,0.004999637603759766,1.3145493270960065e-06,best,27,0.8,0.30000000000000004,72,20,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.8, 'min_samples_leaf': 0.30000000000000004, 'max_features': 72, 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced'}",0.4971769815418024,0.5278357518763146,0.5498214285714286,0.5463582186793393,0.5435438130451951,0.532947238742816,0.0194037040298434,1593
0.016199731826782228,0.005036796030976381,0.07460088729858398,0.06623741517980188,best,27,0.5,0.4,111,45,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.5, 'min_samples_leaf': 0.4, 'max_features': 111, 'max_depth': 45, 'criterion': 'gini', 'class_weight': 'balanced'}",0.4971769815418024,0.5278357518763146,0.5498214285714286,0.5463582186793393,0.5435438130451951,0.532947238742816,0.0194037040298434,1593
0.03040032386779785,0.03234570640534918,0.0065997600555419925,0.0024172828376812423,random,27,0.4,0.2,59,50,entropy,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.4, 'min_samples_leaf': 0.2, 'max_features': 59, 'max_depth': 50, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5813246471226927,0.5108895818498784,0.5191696428571428,0.4971256658874028,0.5919203431812471,0.5400859761796728,0.03878901980078567,1475
0.04880051612854004,0.06813888825280372,0.005598688125610351,0.001199531848981436,best,27,0.9,0.1,111,30,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.9, 'min_samples_leaf': 0.1, 'max_features': 111, 'max_depth': 30, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5674629026420557,0.5543865249097649,0.5510714285714287,0.5687780247575979,0.5568304196431777,0.559705860104805,0.007121696049147563,817
0.011000394821166992,0.0010945387165588545,0.03439936637878418,0.05635386154447459,random,27,0.8,0.5,26,45,gini,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.8, 'min_samples_leaf': 0.5, 'max_features': 26, 'max_depth': 45, 'criterion': 'gini', 'class_weight': 'balanced'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,3604
0.012000656127929688,0.000895268724670987,0.05519924163818359,0.1014006008295125,best,27,0.4,0.30000000000000004,39,35,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.4, 'min_samples_leaf': 0.30000000000000004, 'max_features': 39, 'max_depth': 35, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5149927614911328,0.5161645427685155,0.5067857142857143,0.5288104089219331,0.5025577054241304,0.5138622265782853,0.00903212211121564,2916
0.013599872589111328,0.0013556366858608942,0.004799747467041015,0.0004010920397611753,best,27,0.8,0.1,78,10,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.8, 'min_samples_leaf': 0.1, 'max_features': 78, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5674629026420557,0.5543865249097649,0.5510714285714287,0.5687780247575979,0.5568304196431777,0.559705860104805,0.007121696049147563,817
0.011600637435913086,0.0020596114571043017,0.004799938201904297,0.0007481630263115423,random,27,0.30000000000000004,0.30000000000000004,1,15,entropy,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.30000000000000004, 'min_samples_leaf': 0.30000000000000004, 'max_features': 1, 'max_depth': 15, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,3604
0.011600065231323241,0.0013569864605735334,0.007599878311157227,0.006215148265653438,random,27,1.0,0.2,13,5,gini,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 1.0, 'min_samples_leaf': 0.2, 'max_features': 13, 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced'}",0.5306369887803113,0.5111965035480148,0.4905357142857143,0.49277104970681795,0.5122994220483181,0.5074879356738353,0.014674788442043963,3386
