method,k,WCSS,BCSS,CH_index
single,63,40257.88711642323,1800.9899838438982,1.7346149838991893
single,64,40246.592900467476,1812.284199799654,1.7175540177069863
single,65,40226.884854259086,1831.9922460080854,1.7092290201464906
single,66,40186.79612469463,1872.0809755727234,1.7207590000085897
single,67,40163.13192522067,1895.7451750464286,1.7164046945307476
single,68,40142.34880281944,1916.5282974477368,1.709495260122744
single,69,40119.97855944779,1938.8985408193441,1.7042553169963253
single,70,40096.88151446606,1961.995585801064,1.6998334532080999
single,71,40046.48577179612,2012.3913284710843,1.7200330815874452
single,72,40023.09140117043,2035.7856990967823,1.715807641110623
single,73,39977.79645578827,2081.0806444787977,1.7308590658678322
single,74,39957.742527846276,2101.1345724206994,1.7237439826805334
single,75,39936.7726436394,2122.1044566275546,1.7176048079350275
single,76,39915.72107333943,2143.1560269275665,1.7117018633564347
single,77,39893.700751720986,2165.176348546232,1.7067631492258963
single,78,39869.688300865084,2189.188799402065,1.7035928225886825
single,79,39847.941780009554,2210.935320257645,1.6986733107350502
single,80,39827.91631476404,2230.9607855034105,1.6925039010676663
single,81,39791.35880964794,2267.5182906189743,1.69958340305065
single,82,39767.07557050881,2291.801529758573,1.696901817711553
single,83,39745.84030882097,2313.036791445974,1.6919333702325776
single,84,39726.20857214283,2332.668528124308,1.685861378682361
single,85,39703.376452122364,2355.5006481448954,1.6823573798587304
single,86,39660.93375729062,2397.943342976713,1.6936218676181087
single,87,39617.82127718016,2441.0558230868824,1.7051619323735805
single,88,39562.53774075806,2496.3393595092007,1.7254193810756608
single,89,39541.1492477897,2517.7278524778003,1.7206346906636774
single,90,39517.741062852256,2541.136037414678,1.7174139218697795
single,91,39493.411512058934,2565.4655882082798,1.7149263367136163
single,92,39451.97368860265,2606.9034116643056,1.7245604707241802
single,93,39403.765695961636,2655.1114043056223,1.7387530603638268
single,94,39384.06893473123,2674.808165536116,1.732953250753871
single,95,39344.95086423526,2713.926236031808,1.7405875117892475
single,96,39324.828703271894,2734.0483969953716,1.735191082776796
single,97,39302.34776304642,2756.5293372208484,1.7314949840381961
single,98,39263.95350516968,2794.923595097086,1.7384781624464822
single,99,39230.92033963752,2827.9567606294527,1.7418064345610362
complete,2,40804.36817185176,1254.508928415351,75.7851339719324
complete,3,40463.816300537255,1595.060799729831,48.56474462694365
complete,4,40168.0005448982,1890.876555368877,38.64791951052246
complete,5,39624.58759421147,2434.2895060556957,37.81251192621017
complete,6,39470.172219137,2588.7048811301747,32.28160585208946
complete,7,39335.39391200253,2723.4831882646477,28.3873630371294
complete,8,39025.82421651789,3033.0528837492975,27.301618098388616
complete,9,38912.13914216937,3146.7379580978186,24.846622646293643
complete,10,38845.12801778135,3213.749082485831,22.585934048589657
complete,11,38616.150210267566,3442.7268899996216,21.89585755130738
complete,12,38438.045531007025,3620.83156926016,21.023539615346234
complete,13,38366.45337878445,3692.423721482738,19.68127320991231
complete,14,38252.07962472017,3806.79747554701,18.778414340484925
complete,15,38124.38461859186,3934.492481675316,18.075000069946245
complete,16,38079.87458696801,3979.0025132991605,17.07382226767072
complete,17,37944.13337051474,4114.743729752423,16.605205539045162
complete,18,37812.5101090209,4246.366991246263,16.177890102226392
complete,19,37686.50513651042,4372.371963756738,15.778660953488915
complete,20,37601.66136894418,4457.215731322979,15.266412366773265
complete,21,37500.4484362111,4558.428664056065,14.866377573120667
complete,22,37414.99851911693,4643.878581150229,14.450893237769492
complete,23,37352.80851502207,4706.068585245092,13.99630866227347
complete,24,37185.70441447875,4873.172685788414,13.919749490035398
complete,25,37120.61462815054,4938.26247211662,13.53609609030605
complete,26,37033.52326007149,5025.3538401956785,13.249496827803547
complete,27,36952.11027489782,5106.766825369343,12.969500837293417
complete,28,36859.51181744035,5199.365282826822,12.74232820938029
complete,29,36726.68664359335,5332.190456673819,12.64152807965097
complete,30,36588.04997193459,5470.827128332577,12.565253637291608
complete,31,36389.57956119415,5669.297539073023,12.650516046732331
complete,32,36272.66031426011,5786.216786007064,12.530043068124666
complete,33,36067.6899067809,5991.18719348627,12.634706494437138
complete,34,35924.83680581283,6134.040294454338,12.588674073980469
complete,35,35835.9801007471,6222.896999520069,12.42104054630681
complete,36,35787.91340854035,6270.963691726823,12.170679413913078
complete,37,35744.10544714924,6314.771653117932,11.924961647612184
complete,38,35659.13358255886,6399.743517708317,11.781960788890027
complete,39,35589.727490412435,6469.14960985474,11.614155012151414
complete,40,35541.31650682377,6517.560593443401,11.411867907601556
complete,41,35491.4366617718,6567.4404384953705,11.222855428215837
complete,42,35398.6124514696,6660.26464879757,11.128410405762562
complete,43,35365.32436092846,6693.552739338705,10.9235139850331
complete,44,35273.74510629332,6785.131993973849,10.839061659598135
complete,45,35205.503514945616,6853.373585321543,10.715570763351959
complete,46,35120.27981052495,6938.597289742205,10.629087700954479
complete,47,35042.21422745665,7016.662872810508,10.534079815092442
complete,48,35008.58048712594,7050.29661314122,10.365037972443245
complete,49,34963.51277625783,7095.364324009329,10.222913816162206
complete,50,34889.49761676723,7169.379483499927,10.136019166802411
complete,51,34803.92799615164,7254.9491041155225,10.072401619427103
complete,52,34748.39969377219,7310.477406494972,9.962260410620196
complete,53,34684.11379056932,7374.76330969784,9.870778491929533
complete,54,34631.453793679415,7427.423306587743,9.76447516635996
complete,55,34563.55257518294,7495.324525084222,9.686248582005218
complete,56,34495.15294605456,7563.7241542125985,9.611963831200635
complete,57,34422.26628329488,7636.610816972282,9.547512023922337
complete,58,34356.983591130294,7701.893509136866,9.474240967683027
complete,59,34293.76869021649,7765.108410050672,9.400713088980462
complete,60,34229.08508893355,7829.792011333619,9.332092037068492
complete,61,34152.70722631202,7906.169873955141,9.282936484207857
complete,62,34096.173555503556,7962.703544763609,9.207466549011269
complete,63,34004.55951046907,8054.317589798093,9.184052774771612
complete,64,33902.9258620628,8155.951238204367,9.175942047262875
complete,65,33853.17439337351,8205.70270689365,9.097234904458029
complete,66,33756.507035305876,8302.370064961293,9.084967736794994
complete,67,33717.3882927432,8341.488807523972,8.996155428605002
complete,68,33688.06137055657,8370.815729710594,8.897074095361317
complete,69,33634.60002275754,8424.277077509623,8.83256091075313
complete,70,33584.702051310895,8474.175048956276,8.765463272626585
complete,71,33540.394293311365,8518.482806955804,8.693263849885344
complete,72,33465.4558304366,8593.421269830564,8.661967035427342
complete,73,33439.91057483781,8618.96652542935,8.57001804263694
complete,74,33345.50311002825,8713.373990238906,8.565819508999502
complete,75,33250.700871006185,8808.176229260973,8.562777255281958
complete,76,33162.23456329063,8896.642536976533,8.552649355926523
complete,77,33071.152531010826,8987.72456925634,8.546429869092673
complete,78,33026.11012537392,9032.766974893248,8.485722129606716
complete,79,32973.2765811687,9085.600519098463,8.435896677395915
complete,80,32902.9329657325,9155.944134534666,8.408022190103603
complete,81,32850.30331996133,9208.573780305844,8.360522894494391
complete,82,32811.68084022668,9247.196260040486,8.298220315852477
complete,83,32784.21009232737,9274.667007939805,8.224812391153904
complete,84,32732.613077092818,9326.264023174355,8.180370598539227
complete,85,32685.58205650773,9373.295043759443,8.132021823521868
complete,86,32629.150444294544,9429.726655972632,8.095316020527273
complete,87,32569.339867290404,9489.537232976767,8.063332779230521
complete,88,32531.087690014447,9527.789410252728,8.008824088012934
complete,89,32478.92673721935,9579.950363047823,7.970595458446771
complete,90,32434.769549348286,9624.107550918887,7.924809406966406
complete,91,32397.432704950454,9661.444395316717,7.872911855678825
complete,92,32360.55477003599,9698.322330231184,7.821731027810999
complete,93,32294.739782676967,9764.137317590206,7.80180293324191
complete,94,32243.715315464804,9815.161784802367,7.767248039601273
complete,95,32183.179322936685,9875.697777330488,7.743292713719265
complete,96,32143.932925726076,9914.944174541093,7.698377594355089
complete,97,32087.616032313334,9971.261067953836,7.671667080758295
complete,98,32033.01040179274,10025.866698474427,7.643944017830176
complete,99,31969.042037916253,10089.835062350914,7.626232941776719
weighted,2,42018.224037189444,40.653063077985045,2.3849128035144833
weighted,3,41993.20670823779,65.67039202963511,1.9266431245089737
weighted,4,41969.84396050691,89.03313976052105,1.7416363952215401
weighted,5,41766.64571817583,292.23138209126955,4.306508520958436
weighted,6,41668.117390396445,390.7597098706526,4.615805590551191
weighted,7,41362.09800345532,696.7790968120238,6.906792534292254
weighted,8,41314.59904831653,744.2780519508144,6.328374306645375
weighted,9,41260.187838146194,798.6892621211551,5.947555952710625
weighted,10,40374.84654488294,1684.0305553839248,11.386800965515459
weighted,11,40307.432694598065,1751.4444056687955,10.671846785466563
weighted,12,39627.2938765219,2431.5832237452323,13.694731884212613
weighted,13,39572.237430838824,2486.639669428305,12.850367970394267
weighted,14,39449.9108128263,2608.966287440836,12.47890956723242
weighted,15,39398.994699173585,2659.882401093619,11.824144421667471
weighted,16,39379.53552141178,2679.3415788554257,11.117561651963362
weighted,17,39346.698278997785,2712.1788212694228,10.554948704007463
weighted,18,39204.30472976339,2854.5723705038217,10.489315910814943
weighted,19,39179.554829321314,2879.322270945901,9.994698269404145
weighted,20,38564.61742119402,3494.259679073177,11.669346024329348
weighted,21,38193.28359685709,3865.5935034101076,12.378147175226369
weighted,22,38171.10177325841,3887.7753270087846,11.85839827332394
weighted,23,38152.21309805106,3906.6640022161278,11.375352051099986
weighted,24,38077.5083498637,3981.36875040349,11.106047134253298
weighted,25,37933.89307080956,4124.984029457617,11.064435812423596
weighted,26,37756.25898866741,4302.618111599775,11.126834163911681
weighted,27,37682.462061357706,4376.415038909477,10.899227294845238
weighted,28,37549.95218519105,4508.92491507613,10.8470502257837
weighted,29,37508.56677959462,4550.310320672552,10.56297411715064
weighted,30,37387.34322916931,4671.533871097874,10.500075657711
weighted,31,37332.1026083492,4726.774491917978,10.281073444223875
weighted,32,37285.83647683651,4773.040623430666,10.055149030940278
weighted,33,37229.02930312257,4829.847797144608,9.867845198947983
weighted,34,37190.053632960204,4868.823467306978,9.65217956332683
weighted,35,37156.42865452877,4902.448445738418,9.437646895262759
weighted,36,37099.0344257492,4959.842674517977,9.285861654497538
weighted,37,36857.450947219324,5201.426153047846,9.525788037634701
weighted,38,36826.58802011514,5232.28908015203,9.327301982563295
weighted,39,36774.242284748994,5284.634815518172,9.181979827880655
weighted,40,36745.81841408099,5313.058686186174,8.99791440984442
weighted,41,36688.8715394942,5370.005560772964,8.877101518652223
weighted,42,36639.6235490735,5419.253551193664,8.748152681929724
weighted,43,36499.281125706584,5559.595974560594,8.791080279819381
weighted,44,36442.64891528339,5616.228184983789,8.683999027118636
weighted,45,36370.74171469058,5688.135385576603,8.608732818024473
weighted,46,36319.42437453083,5739.45272573636,8.50185711811973
weighted,47,36299.66345415612,5759.213646111058,8.346763828451232
weighted,48,36133.91633184211,5924.960768425058,8.439339436133988
weighted,49,36114.37752322328,5944.49957704389,8.291826877011033
weighted,50,36026.492993292995,6032.384106974189,8.259382321029074
weighted,51,35990.904301311486,6067.972798955696,8.146626247311463
weighted,52,35928.82840851684,6130.04869175035,8.079190109092053
weighted,53,35856.36057913217,6202.516521135006,8.030371653080772
weighted,54,35830.07486518674,6228.80223508043,7.914769634696141
weighted,55,35762.00072900502,6296.876371262154,7.864785867202836
weighted,56,35708.16429151361,6350.7128087535575,7.796316656378658
weighted,57,35654.09971898068,6404.777381286483,7.730784723696582
weighted,58,35634.648006572475,6424.229093694686,7.619219600224577
weighted,59,35591.53353714282,6467.343563124335,7.544104934757944
weighted,60,35569.87327138603,6489.003828881127,7.442516243322159
weighted,61,35552.4905998818,6506.386500385364,7.3386166275034626
weighted,62,35503.36481007739,6555.512290189767,7.279848923600169
weighted,63,35452.458750092774,6606.41835017438,7.225409824942177
weighted,64,35284.2000409103,6774.677059356848,7.323548187699629
weighted,65,35248.33697796154,6810.54012230561,7.251635279278489
weighted,66,35192.30289660275,6866.574203664401,7.207277337554815
weighted,67,35009.16620052956,7049.710899737593,7.322457271859959
weighted,68,34983.946133889556,7074.930966377601,7.241171879828249
