method,k,silhouette_avg
complete,17,-0.0006728662133919144
complete,18,-0.0017287175810074434
complete,19,-0.0011530371335532516
complete,20,-0.0010456693538750395
complete,21,-0.0005921943349188448
complete,22,-0.0027323838593068294
complete,23,-0.0031687153111741246
complete,24,-0.0036242635924845484
complete,25,-0.0035240711988691635
complete,26,-0.004187807629066
complete,27,-0.004966285779404304
complete,28,-0.0036695591021941283
complete,29,-0.005415636977586756
complete,30,-0.004338255327383874
complete,31,-0.0034932791885211264
complete,32,-0.004645197847184587
complete,33,-0.003119936244732809
complete,34,-0.0041175802923729046
complete,35,-0.0032287761924967694
complete,36,-0.0026072766860673604
complete,37,-0.002141151923656056
complete,38,-0.0014108092239364992
complete,39,-0.0010268369959687332
complete,40,-0.0005284692664373904
complete,41,0.00018328050216788913
complete,42,0.0016247263072420306
complete,43,0.0014911266894819244
complete,44,0.002171317976332208
complete,45,-0.00042467970584485654
complete,46,-0.0001969534372446708
complete,47,0.0002542669499241192
complete,48,0.00014770842359637052
complete,49,0.0003461868713084126
complete,50,0.00040273911865009934
complete,51,-0.0004030860252003296
complete,52,0.00012070149644698482
complete,53,-0.0005264737390808364
complete,54,-0.0005459589157121
complete,55,-6.191360709137321e-05
complete,56,0.00029679233914376666
complete,57,0.0011659980021546923
complete,58,0.002029716016134476
complete,59,0.001763493130749333
complete,60,0.0026100568005732643
complete,61,0.0033040638305563124
complete,62,0.0034396935641605748
complete,63,0.0013217759413282296
complete,64,0.001332345458498169
complete,65,0.0011119251314121593
complete,66,0.001771731707529261
complete,67,0.0020801079627276522
complete,68,0.0022817251171114994
complete,69,0.0020245177799912907
complete,70,0.002738815198574985
complete,71,0.003123968945108856
complete,72,0.0021219087381449584
complete,73,0.0022576418439686024
complete,74,0.003522548293145536
complete,75,0.00492999022442388
complete,76,0.0059891111020672185
complete,77,0.0067270340907657445
complete,78,0.007089396630806409
complete,79,0.006598528572195083
complete,80,0.006517227840591089
complete,81,0.006745321404892125
complete,82,0.007044030454411557
complete,83,0.0070109997539693275
complete,84,0.0075649195583007015
complete,85,0.007804339494761423
complete,86,0.008042007740158952
complete,87,0.008886584751310657
complete,88,0.00940919268364273
complete,89,0.009825695372312681
complete,90,0.009952257911354978
complete,91,0.010517028181625808
complete,92,0.010612971728000893
complete,93,0.010196038392527383
complete,94,0.01054510730360866
