k,silhouette_avg
2,0.04690454279202955
3,0.037205671884414045
4,0.03500405653856921
5,0.030718938507004873
6,0.03431434313869152
7,0.031128816295687076
8,0.030055390736940923
9,0.028701079386565565
10,0.029287089059379573
11,0.026841820310158217
12,0.024309373163980456
13,0.024666663381161507
14,0.024794736406437524
15,0.023938129334289696
16,0.023536440051899702
17,0.022290255312854605
18,0.022481211572400146
19,0.022372476298175095
20,0.022772374911517436
21,0.02225517653875186
22,0.02209487710775062
23,0.02379794830077668
24,0.02121024252661542
25,0.021166582911708174
26,0.023397288405284423
27,0.022924900648665755
28,0.020701676050051115
29,0.021890086281797852
30,0.0211051685797979
31,0.020996376913973432
32,0.023746082068503777
33,0.02315610766000178
34,0.02290575687738468
35,0.021258554229063215
36,0.02194325755286159
37,0.023049575270795698
38,0.022816199792501334
39,0.02079934328026186
40,0.02228771621399756
41,0.022224102103429486
42,0.023636925525932356
43,0.02465856419518244
44,0.02251066918185722
45,0.022830614525353905
46,0.022950536652817655
47,0.02310221960917823
48,0.023082386678341667
49,0.023857510278347684
50,0.023123122548614716
51,0.02389434635613933
52,0.024570592316151874
53,0.02435954267358654
54,0.0246539053101251
55,0.02474391075251593
56,0.024102370430794346
57,0.024367064287158655
58,0.021732650423856123
59,0.0256785913698753
60,0.024942452529669156
61,0.023799778727164884
62,0.027234404972322147
63,0.023951207600525975
64,0.026360340618477026
65,0.025799334542045076
66,0.024714157875601942
67,0.025218098771450023
68,0.025904813991979508
69,0.025343555334412723
70,0.026784947188812993
71,0.02752653751556276
72,0.028476754289182563
73,0.026950301117751686
74,0.02372583081609673
75,0.025098138417557554
76,0.026629985464372147
77,0.025256710722619494
78,0.026938281708101454
79,0.026030483014673995
80,0.028422580725731877
81,0.026791709557310767
82,0.026530063476183308
83,0.02614569702158642
84,0.026804733089650954
85,0.03027465827988511
86,0.029771018040598653
87,0.02855186300385813
88,0.028523935147124792
89,0.029372219242707682
90,0.029639245843796017
91,0.027988810897768848
92,0.027983122019465245
93,0.02834348946139213
94,0.026001848127922517
95,0.02705106386997414
96,0.03086189160240708
97,0.02406465601611286
98,0.032132272825864464
99,0.02865999487278689
